household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
67;090020000;09002;09;76;all;none;1;0;100.79519752255855;410134
11144;090970000;09097;09;76;all;none;1;0;1718.8885067897033;412375
48791;092570000;09257;09;76;some;none;1;0;2406.5569988322304;419900
54169;092770000;09277;09;76;some;none;1;0;2979.40493272062;420980
84456;110400000;11040;11;76;some;none;1;0;1659.5540848013152;463447
106868;111160102;11116;11;76;some;none;1;0;706.5;468607
141238;112170000;11217;11;76;all;none;1;0;2224.7893227931713;476613
173068;113550000;11355;11;76;some;none;1;0;5263.757900886728;482965
178729;112660103;11266;11;76;all;none;1;0;1872.0;484101
181623;113670000;11367;11;76;all;none;1;0;1761.3878892093228;484671
284434;310820000;31082;31;76;some;none;1;0;2135.0984985741434;1804477
292125;310940000;31094;31;76;some;none;1;0;2557.3265432666535;1806025
440446;313950104;31395;31;76;some;none;1;0;3675.0;1839547
472792;313580000;31358;31;76;all;none;2;0;2686.95032399848;1846727
486432;314240101;31424;31;76;all;none;1;0;21.0;1850463
505320;313990000;31399;31;76;some;none;1;0;3295.819638992997;1854803
514694;314330101;31433;31;76;all;none;1;0;719.0;1856670
517434;314510102;31451;31;76;some;none;1;0;2124.0;1857219
569156;311490701;31149;31;76;all;none;1;0;1047.0;1869982
577124;312820102;31282;31;76;some;none;1;0;1429.5;1872087
590098;314940000;31494;31;76;all;none;1;0;2581.607220409888;1875952
599464;310440107;31044;31;76;some;none;1;0;478.5;1878338
609340;314460106;31446;31;76;all;none;2;0;5407.5;1881089
627745;315880102;31588;31;76;some;none;1;0;3213.0;1886603
889073;315552803;31555;31;76;all;none;1;0;2618.0;1965910
944946;321020000;32102;32;76;some;none;1;0;3226.705557478295;1982009
955871;321470000;32147;32;76;all;none;2;0;2741.819955083859;1984173
977329;322560000;32256;32;76;some;none;1;0;3240.818176976636;1988488
1058792;810990104;81099;81;76;all;none;2;0;2649.0;6363596
1071280;811050106;81105;81;76;some;none;1;0;1558.5;6367213
1157913;810040201;81004;81;76;some;none;1;0;1002.0;6386259
1181857;810650404;81065;81;76;some;none;1;0;5142.0;6393333
1190784;810650402;81065;81;76;all;none;1;0;3167.0;6396149
1193276;810650501;81065;81;76;all;none;1;0;3425.0;6396944
1194364;810650101;81065;81;76;all;none;1;0;3288.0;6397285
