person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
121;67;77;False;female;7;True;True;872473;37992
22160;11144;82;False;female;7;True;True;877084;37992
98164;48791;88;False;female;7;True;True;892532;37992
98161;48791;65;False;female;7;False;False;892535;45943
98162;48791;64;True;male;3;True;False;892534;39253
98163;48791;90;False;male;7;True;False;892533;39826
109424;54169;77;False;female;7;True;True;894926;37992
109425;54169;51;True;male;4;True;False;894927;39472
109423;54169;76;False;male;7;True;False;894925;38821
173510;84456;80;False;female;7;True;True;985234;37992
173509;84456;86;False;male;7;True;True;985233;39682
173511;84456;79;False;female;7;True;False;985235;37745
221892;106868;75;False;female;7;True;True;996730;37992
221891;106868;74;False;male;7;True;False;996729;44426
293958;141238;83;False;female;7;True;True;1013899;37992
359808;173068;86;False;female;7;True;True;1027407;37992
359807;173068;87;False;male;7;True;False;1027408;38259
371136;178729;76;False;female;7;True;True;1029714;37992
376860;181623;75;False;female;7;True;True;1030832;37992
587404;284434;83;False;female;8;True;True;3830906;37992
587403;284434;93;False;male;7;True;True;3830907;40043
602542;292125;85;False;female;7;True;True;3833956;37992
602541;292125;86;False;male;7;True;False;3833955;38831
934347;440446;80;False;female;7;True;True;3908747;37992
934348;440446;87;False;male;7;True;False;3908746;39199
1010562;472792;77;False;female;7;True;True;3926117;37992
1010561;472792;79;False;male;7;True;False;3926116;38088
1043702;486432;75;False;female;7;True;True;3935466;37992
1088539;505320;81;False;female;8;True;True;3946063;37992
1088538;505320;84;False;male;7;True;False;3946062;44246
1110420;514694;91;False;female;7;True;True;3950455;37992
1116783;517434;75;False;female;7;True;True;3951907;37992
1116782;517434;82;False;male;7;True;False;3951908;44383
1229107;569156;84;False;female;7;True;True;3979604;37992
1246751;577124;78;False;female;7;True;True;3984322;37992
1246750;577124;92;False;female;7;True;True;3984321;39886
1274055;590098;80;False;female;7;True;True;3992207;37992
1294765;599464;77;False;female;7;True;True;3997474;37992
1294764;599464;79;False;male;7;True;False;3997473;39905
1315612;609340;79;False;female;7;True;True;4003440;37992
1315611;609340;85;False;male;7;True;False;4003441;39764
1356010;627745;79;False;female;7;True;True;4015404;37992
1356009;627745;79;False;male;7;True;False;4015403;39232
1839715;889073;78;False;female;7;True;True;4156642;37992
1942748;944946;75;False;female;7;True;True;4187866;37992
1942747;944946;76;False;male;7;True;False;4187867;44937
1966017;955871;75;False;female;7;True;True;4192594;37992
1966016;955871;78;False;male;7;True;False;4192595;38731
2011290;977329;77;False;female;7;True;True;4201905;37992
2011291;977329;75;False;male;7;True;False;4201904;38088
2182306;1058792;77;False;female;7;True;True;13542825;37992
2182307;1058792;79;False;male;7;True;False;13542824;39226
2209381;1071280;95;False;female;7;True;True;13550755;37992
2209380;1071280;58;True;male;5;True;False;13550754;37732
2396649;1157913;76;False;female;7;True;True;13592235;37992
2396648;1157913;81;False;male;7;True;False;13592234;38781
2440510;1181857;84;False;female;7;True;True;13605464;37992
2440509;1181857;88;False;male;7;True;False;13605465;45931
2458156;1190784;94;False;female;7;True;True;13611009;37992
2463140;1193276;77;False;female;7;True;True;13612581;37992
2465364;1194364;85;False;female;7;True;True;13613266;37992
2477633;1200528;82;False;female;7;True;True;13617123;37992
2477634;1200528;73;True;male;3;True;False;13617124;38107
2535184;1226852;75;False;female;7;True;True;13631675;37992
162;99;43;True;female;1;True;False;872481;39927
163;99;52;True;male;1;True;False;872482;39871
164;99;13;False;male;8;False;False;872483;39316
66966;34201;34;True;female;4;True;False;886210;39927
66967;34201;2;False;female;8;False;False;886211;39975
66965;34201;34;True;male;4;True;False;886212;39659
172864;84144;37;True;female;4;True;False;985103;39927
213452;103029;39;True;female;2;True;False;995017;39927
213449;103029;41;True;male;2;True;False;995013;39106
213451;103029;80;False;female;8;True;True;995015;40134
213450;103029;8;False;male;8;False;False;995014;39555
213447;103029;15;False;male;8;True;False;995016;37806
213448;103029;18;False;male;8;True;False;995012;37806
253215;122023;34;False;female;8;True;False;1003981;39927
253214;122023;33;True;male;2;True;False;1003980;39549
347930;167912;38;True;female;4;True;False;1025039;39927
347929;167912;5;False;female;8;False;True;1025038;40235
347928;167912;37;True;male;6;True;False;1025037;37832
347931;167912;5;False;female;8;False;False;1025040;46311
359539;172945;37;True;female;4;True;False;1027352;39927
480342;233582;42;True;female;3;True;False;1059575;39927
480341;233582;10;False;male;8;False;False;1059574;39787
480340;233582;9;False;female;8;False;False;1059573;39208
531079;259316;33;True;female;3;True;False;3819387;39927
531077;259316;2;False;female;8;False;False;3819388;38285
531078;259316;34;True;male;4;True;False;3819389;39805
546105;265687;39;True;female;4;True;False;3822425;39927
546106;265687;15;False;male;8;False;True;3822426;44991
546104;265687;18;False;male;8;False;False;3822424;39004
567419;274815;33;True;female;2;True;False;3826718;39927
567420;274815;34;True;male;4;True;False;3826719;37927
567421;274815;8;False;male;8;False;False;3826720;39180
587038;284247;41;True;female;4;True;False;3830834;39927
587037;284247;15;False;male;8;True;False;3830833;45978
587036;284247;10;False;male;8;False;False;3830832;46379
587035;284247;39;True;male;2;True;False;3830831;40265
614180;297612;41;True;female;3;True;False;3837128;39927
614181;297612;43;False;male;8;True;False;3837129;39331
614179;297612;9;False;male;8;False;False;3837127;39787
671900;324869;44;True;female;4;True;False;3852238;39927
671901;324869;47;True;male;6;True;False;3852239;39100
671898;324869;15;False;female;8;True;False;3852241;40187
671899;324869;19;False;male;8;True;False;3852240;39893
684463;330943;33;False;female;4;True;False;3855335;39927
684465;330943;2;False;male;8;False;False;3855337;38813
684464;330943;32;True;male;4;True;False;3855336;46326
714015;345232;37;False;female;4;True;False;3862658;39927
727067;351064;38;True;female;3;True;False;3865348;39927
