person_id;household_id;activity_index;iris_id;commune_id;departement_id;region_id;preceding_trip_index;following_trip_index;purpose;start_time;end_time;is_first;is_last
622;358;0;090090000;09009;09;76;-1;0;home;;28589.0;True;False
622;358;1;090090000;09009;09;76;0;1;work;29489.0;43889.0;False;False
622;358;2;090090000;09009;09;76;1;2;home;44789.0;48389.0;False;False
622;358;3;090090000;09009;09;76;2;3;work;49289.0;65189.0;False;False
622;358;4;090090000;09009;09;76;3;4;shop;65489.0;69389.0;False;False
622;358;5;090090000;09009;09;76;4;5;home;69689.0;77189.0;False;False
622;358;6;090710000;09071;09;76;5;6;other;77789.0;78089.0;False;False
622;358;7;090090000;09009;09;76;6;-1;home;78689.0;;False;True
623;358;0;090090000;09009;09;76;-1;0;home;;52640.0;True;False
623;358;1;093060000;09306;09;76;0;1;shop;54440.0;67040.0;False;False
623;358;2;090090000;09009;09;76;1;-1;home;68840.0;;False;True
2470;1391;0;090410000;09041;09;76;-1;0;home;;64276.0;True;False
2470;1391;1;311830000;31183;31;76;0;1;shop;64696.0;66376.0;False;False
2470;1391;2;090410000;09041;09;76;1;-1;home;66976.0;;False;True
2471;1391;0;090410000;09041;09;76;-1;0;home;;26227.0;True;False
2471;1391;1;092890000;09289;09;76;0;1;work;28027.0;61027.0;False;False
2471;1391;2;090410000;09041;09;76;1;-1;home;62827.0;;False;True
3140;1723;0;090430000;09043;09;76;-1;0;shop;;34128.0;True;False
3140;1723;1;091570000;09157;09;76;0;1;shop;34608.0;36288.0;False;False
3140;1723;2;090430000;09043;09;76;1;-1;home;37368.0;;False;True
3141;1723;0;090430000;09043;09;76;-1;0;home;;39681.0;True;False
3141;1723;1;090430000;09043;09;76;0;1;shop;39861.0;41481.0;False;False
3141;1723;2;090430000;09043;09;76;1;2;home;41661.0;63081.0;False;False
3141;1723;3;091600102;09160;09;76;2;3;other;63681.0;65781.0;False;False
3141;1723;4;090430000;09043;09;76;3;-1;home;66381.0;;False;True
4226;2297;0;090470000;09047;09;76;-1;0;home;;31595.0;True;False
4226;2297;1;091680000;09168;09;76;0;1;other;32195.0;38795.0;False;False
4226;2297;2;090470000;09047;09;76;1;2;home;39395.0;40595.0;False;False
4226;2297;3;091600103;09160;09;76;2;3;shop;41195.0;44195.0;False;False
4226;2297;4;090470000;09047;09;76;3;4;home;44795.0;53195.0;False;False
4226;2297;5;093360000;09336;09;76;4;5;shop;54095.0;58595.0;False;False
4226;2297;6;110280000;11028;11;76;5;6;other;59495.0;60095.0;False;False
4226;2297;7;090470000;09047;09;76;6;-1;home;60995.0;;False;True
4227;2297;0;090470000;09047;09;76;-1;0;home;;27787.0;True;False
4227;2297;1;090470000;09047;09;76;0;1;work;29887.0;42607.0;False;False
4227;2297;2;090470000;09047;09;76;1;2;work;44707.0;44887.0;False;False
4227;2297;3;090470000;09047;09;76;2;3;home;45487.0;51667.0;False;False
4227;2297;4;090470000;09047;09;76;3;4;work;52567.0;71287.0;False;False
4227;2297;5;090470000;09047;09;76;4;-1;home;72127.0;;False;True
13166;6677;0;090600000;09060;09;76;-1;0;home;;26849.0;True;False
13166;6677;1;090600000;09060;09;76;0;1;work;28049.0;63149.0;False;False
13166;6677;2;090600000;09060;09;76;1;-1;home;64349.0;;False;True
13795;7009;0;090610000;09061;09;76;-1;0;home;;37353.0;True;False
13795;7009;1;090610000;09061;09;76;0;1;shop;37953.0;39153.0;False;False
13795;7009;2;090610000;09061;09;76;1;2;other;39273.0;40353.0;False;False
13795;7009;3;090610000;09061;09;76;2;-1;home;40953.0;;False;True
16528;8304;0;090610000;09061;09;76;-1;0;home;;27088.0;True;False
16528;8304;1;091220102;09122;09;76;0;1;education;27688.0;42688.0;False;False
16528;8304;2;090610000;09061;09;76;1;2;home;43288.0;49588.0;False;False
16528;8304;3;091220102;09122;09;76;2;3;education;50488.0;60688.0;False;False
16528;8304;4;090610000;09061;09;76;3;-1;home;61288.0;;False;True
16530;8304;0;090610000;09061;09;76;-1;0;home;;54004.0;True;False
16530;8304;1;092610101;09261;09;76;0;1;work;56104.0;68404.0;False;False
16530;8304;2;090610000;09061;09;76;1;-1;home;70504.0;;False;True
17234;8634;0;090620000;09062;09;76;-1;0;home;;29460.0;True;False
17234;8634;1;092610101;09261;09;76;0;1;work;31560.0;70860.0;False;False
17234;8634;2;090620000;09062;09;76;1;-1;home;71760.0;;False;True
17235;8634;0;090620000;09062;09;76;-1;0;home;;36166.0;True;False
17235;8634;1;092230000;09223;09;76;0;1;shop;37366.0;52066.0;False;False
17235;8634;2;090620000;09062;09;76;1;-1;home;52966.0;;False;True
17453;8748;0;090710000;09071;09;76;-1;0;home;;31813.0;True;False
17453;8748;1;090710000;09071;09;76;0;1;education;31993.0;43453.0;False;False
17453;8748;2;090710000;09071;09;76;1;2;home;43633.0;49573.0;False;False
17453;8748;3;090710000;09071;09;76;2;3;education;49753.0;61273.0;False;False
17453;8748;4;090710000;09071;09;76;3;-1;home;61393.0;;False;True
17454;8748;0;090710000;09071;09;76;-1;0;home;;32920.0;True;False
17454;8748;1;090440000;09044;09;76;0;1;leisure;34120.0;41620.0;False;False
17454;8748;2;090710000;09071;09;76;1;2;home;43420.0;61420.0;False;False
17454;8748;3;090420000;09042;09;76;2;3;leisure;62620.0;66820.0;False;False
17454;8748;4;090710000;09071;09;76;3;-1;home;68020.0;;False;True
17455;8748;0;090710000;09071;09;76;-1;0;home;;31811.0;True;False
17455;8748;1;092250107;09225;09;76;0;1;shop;32711.0;32951.0;False;False
17455;8748;2;092250104;09225;09;76;1;2;work;33071.0;45011.0;False;False
17455;8748;3;090710000;09071;09;76;2;3;home;45191.0;51611.0;False;False
17455;8748;4;092250104;09225;09;76;3;4;work;51911.0;69011.0;False;False
17455;8748;5;090440000;09044;09;76;4;5;shop;69611.0;73811.0;False;False
17455;8748;6;090710000;09071;09;76;5;-1;home;74111.0;;False;True
17456;8748;0;090710000;09071;09;76;-1;0;home;;21650.0;True;False
17456;8748;1;821950000;82195;82;76;0;1;education;23450.0;59450.0;False;False
17456;8748;2;090710000;09071;09;76;1;-1;home;61250.0;;False;True
19181;9655;0;090790000;09079;09;76;-1;0;home;;31582.0;True;False
19181;9655;1;091670000;09167;09;76;0;1;work;33382.0;65782.0;False;False
19181;9655;2;090790000;09079;09;76;1;-1;home;67582.0;;False;True
25726;13030;0;091080000;09108;09;76;-1;0;home;;38338.0;True;False
25726;13030;1;092610101;09261;09;76;0;1;other;38578.0;52078.0;False;False
25726;13030;2;092610101;09261;09;76;1;-1;leisure;52198.0;;False;True
25773;13053;0;091190000;09119;09;76;-1;0;home;;49914.0;True;False
25773;13053;1;092140000;09214;09;76;0;1;leisure;51714.0;58914.0;False;False
25773;13053;2;091190000;09119;09;76;1;-1;home;60714.0;;False;True
26114;13251;0;090190000;09019;09;76;-1;0;shop;;33535.0;True;False
26114;13251;1;090790000;09079;09;76;0;1;shop;34015.0;35695.0;False;False
26114;13251;2;091240000;09124;09;76;1;-1;home;36775.0;;False;True
26893;13685;0;092610101;09261;09;76;-1;0;home;;42571.0;True;False
26893;13685;1;092610102;09261;09;76;0;1;leisure;42871.0;42931.0;False;False
26893;13685;2;092610101;09261;09;76;1;-1;home;43291.0;;False;True
26894;13685;0;092610101;09261;09;76;-1;0;home;;33728.0;True;False
26894;13685;1;092610101;09261;09;76;0;1;leisure;33848.0;71528.0;False;False
26894;13685;2;092610101;09261;09;76;1;-1;home;71708.0;;False;True
26954;13716;0;092610102;09261;09;76;-1;0;home;;37559.0;True;False
26954;13716;1;092610102;09261;09;76;0;1;shop;37859.0;38459.0;False;False
