person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
622;358;56;False;female;8;True;False;872573;37995
623;358;60;True;male;5;True;False;872572;45098
666209;322089;50;True;female;3;True;False;3850774;37995
666210;322089;46;True;male;3;True;False;3850776;38199
666208;322089;15;False;female;8;True;False;3850775;46335
1021688;477413;49;True;female;4;True;False;3929227;37995
1021687;477413;56;True;male;2;True;False;3929226;39223
1021686;477413;17;False;male;8;True;False;3929228;39828
1872139;907196;56;True;female;2;True;False;4166492;37995
1872137;907196;57;True;male;3;True;False;4166490;38855
1872138;907196;22;False;female;8;True;False;4166491;40093
2111628;1026584;52;True;female;4;True;False;13527592;37995
2111629;1026584;57;False;male;7;True;False;13527593;40000
2111630;1026584;13;False;female;8;False;False;13527591;39247
2111631;1026584;22;True;female;6;True;False;13527590;39994
2124975;1032551;53;True;female;4;True;False;13530270;37995
2124976;1032551;52;True;male;2;True;False;13530271;37980
2124977;1032551;22;True;male;4;True;False;13530272;39503
237428;114553;74;False;male;7;True;False;999922;45098
495794;241770;68;False;male;7;True;False;1064513;45098
495795;241770;68;False;female;7;True;False;1064512;45998
2470;1391;29;True;female;1;False;False;872948;39992
2471;1391;27;True;male;1;False;False;872949;37000
59478;30663;17;True;female;5;False;False;884693;39992
59475;30663;15;False;male;8;False;False;884690;37000
59476;30663;40;True;male;4;True;False;884691;39560
59477;30663;50;False;female;5;True;True;884692;46020
859427;408470;29;True;female;3;False;False;3892457;39992
859428;408470;31;True;male;6;True;False;3892458;39106
1145267;529911;26;True;female;5;False;False;3957615;39992
1145268;529911;34;True;male;4;True;False;3957614;45036
1746371;836865;24;True;female;5;False;False;4128819;39992
1746370;836865;25;False;female;8;True;True;4128818;39311
2092142;1016341;21;False;female;8;False;False;4219461;39992
2092141;1016341;21;False;female;8;True;False;4219462;39996
2092140;1016341;51;True;female;4;True;False;4219463;37866
2092139;1016341;71;False;male;7;True;False;4219464;39526
2212779;1072842;19;False;female;8;False;False;13551554;39992
2212780;1072842;56;True;female;4;True;False;13551553;37903
2300157;1113477;21;False;female;8;False;False;13570740;39992
2300156;1113477;60;False;female;8;True;False;13570739;46345
2460151;1191792;24;True;female;5;False;False;13611653;39992
2460150;1191792;26;True;male;6;False;True;13611652;39158
2585452;1248552;25;True;female;5;False;False;13644131;39992
2585453;1248552;25;True;male;5;True;False;13644130;37806
2714233;1306651;24;True;female;5;False;False;13673645;39992
161710;79105;21;True;male;5;False;False;982766;37000
161711;79105;42;True;female;5;True;False;982767;39380
161709;79105;14;False;male;8;False;False;982765;46379
189325;91743;27;True;male;6;False;False;988849;37000
189323;91743;10;False;female;8;False;True;988847;40235
189322;91743;38;True;female;5;True;False;988846;38115
189324;91743;3;False;male;8;False;True;988848;38244
253309;122058;21;True;male;4;False;False;1004008;37000
253308;122058;20;True;female;5;True;False;1004007;39996
291401;140145;21;False;male;8;False;False;1013387;37000
291399;140145;8;False;male;8;False;False;1013385;39166
291400;140145;56;True;male;6;True;True;1013386;40272
291402;140145;52;False;female;8;True;False;1013388;40100
412063;198205;18;False;male;8;False;False;1038010;37000
412061;198205;48;True;male;4;True;False;1038013;45003
412062;198205;46;True;female;3;True;False;1038012;38742
412064;198205;13;False;male;8;False;False;1038011;39555
504467;246433;28;True;male;5;False;False;1067269;37000
504468;246433;68;False;female;7;True;False;1067270;45998
504469;246433;60;False;male;8;True;False;1067271;39814
561622;272276;19;True;male;2;False;False;3825554;37000
561621;272276;25;True;male;6;True;False;3825557;39091
561620;272276;50;True;female;5;False;False;3825556;44386
561623;272276;50;True;male;6;True;False;3825555;39859
655004;316851;29;True;male;3;False;False;3847739;37000
655005;316851;23;False;male;8;True;False;3847740;39161
655003;316851;52;True;female;6;True;False;3847741;38924
741005;357313;22;True;male;5;False;False;3868206;37000
824439;394171;15;False;male;8;False;False;3885326;37000
824436;394171;17;False;male;8;True;False;3885328;40085
824437;394171;49;True;female;4;True;False;3885327;39350
824438;394171;52;True;male;5;True;False;3885325;46316
874229;414706;20;False;male;8;False;False;3895470;37000
913395;431259;18;False;male;8;False;False;3903418;37000
913394;431259;44;True;female;5;True;False;3903417;39945
913393;431259;44;True;male;4;True;False;3903416;39836
913392;431259;14;False;female;8;False;False;3903419;45085
984036;462044;24;False;male;8;False;False;3920873;37000
984034;462044;60;True;female;3;False;True;3920875;40145
984035;462044;63;False;male;7;True;False;3920874;40032
996634;467159;17;False;male;8;False;False;3923359;37000
996632;467159;13;False;male;8;False;True;3923357;39963
996633;467159;45;True;female;3;True;True;3923358;40045
1013394;473965;24;True;male;3;False;False;3926958;37000
1013392;473965;52;True;female;3;True;True;3926956;39306
1013393;473965;59;True;male;3;True;True;3926957;38697
1223924;566749;27;True;male;6;False;False;3978125;37000
1223923;566749;2;False;female;8;True;True;3978124;46337
1223925;566749;25;False;female;8;False;True;3978126;40013
1231844;570378;17;False;male;8;False;False;3980391;37000
1231843;570378;48;True;female;4;True;False;3980390;46336
1231841;570378;21;False;male;8;True;False;3980388;38871
1231842;570378;47;True;male;5;True;False;3980389;39544
1239532;573921;16;False;male;8;False;False;3982627;37000
1239533;573921;39;True;female;4;True;False;3982628;39987
1239530;573921;9;False;male;8;False;False;3982625;46353
1239531;573921;20;False;male;8;True;False;3982626;39731
1239529;573921;39;True;male;2;True;False;3982624;44379
1459210;676126;24;True;male;3;False;False;4042217;37000
1675264;797065;23;False;male;8;False;False;4107220;37000
1675266;797065;52;True;female;4;True;False;4107222;39820
1675265;797065;19;False;female;8;True;False;4107221;38120
1675263;797065;53;True;male;4;True;False;4107219;39683
1688599;804522;22;False;male;6;False;False;4111280;37000
1688600;804522;56;True;female;5;True;False;4111281;45991
1772176;851356;15;False;male;8;False;False;4136550;37000
1772175;851356;67;False;male;7;True;False;4136549;39814
1772178;851356;10;False;female;8;False;False;4136552;38285
1772177;851356;58;False;female;8;True;False;4136551;39712
1776741;853910;28;True;male;4;False;False;4137913;37000
1776742;853910;32;True;male;3;True;False;4137914;39106
1777585;854344;20;False;male;8;False;False;4138169;37000
1777586;854344;12;False;male;8;False;False;4138170;38091
1777583;854344;39;False;female;8;True;False;4138171;39772
1777582;854344;40;False;male;6;True;False;4138172;44379
1777584;854344;6;False;male;8;False;False;4138173;38915
1855417;897931;26;True;male;3;False;False;4161413;37000
1855416;897931;23;False;female;8;True;False;4161414;40030
2021109;982072;16;False;male;8;False;False;4203960;37000
