person_id;trip_index;preceding_activity_index;following_activity_index;departure_time;arrival_time;preceding_purpose;following_purpose;is_first;is_last
622;0;0;1;28589.0;29489.0;home;work;True;False
622;1;1;2;43889.0;44789.0;work;home;False;False
622;2;2;3;48389.0;49289.0;home;work;False;False
622;3;3;4;65189.0;65489.0;work;shop;False;False
622;4;4;5;69389.0;69689.0;shop;home;False;False
622;5;5;6;77189.0;77789.0;home;other;False;False
622;6;6;7;78089.0;78689.0;other;home;False;True
623;0;0;1;52640.0;54440.0;home;shop;True;False
623;1;1;2;67040.0;68840.0;shop;home;False;True
2470;0;0;1;64276.0;64696.0;home;shop;True;False
2470;1;1;2;66376.0;66976.0;shop;home;False;True
2471;0;0;1;26227.0;28027.0;home;work;True;False
2471;1;1;2;61027.0;62827.0;work;home;False;True
3140;0;0;1;34128.0;34608.0;shop;shop;True;False
3140;1;1;2;36288.0;37368.0;shop;home;False;True
3141;0;0;1;39681.0;39861.0;home;shop;True;False
3141;1;1;2;41481.0;41661.0;shop;home;False;False
3141;2;2;3;63081.0;63681.0;home;other;False;False
3141;3;3;4;65781.0;66381.0;other;home;False;True
4226;0;0;1;31595.0;32195.0;home;other;True;False
4226;1;1;2;38795.0;39395.0;other;home;False;False
4226;2;2;3;40595.0;41195.0;home;shop;False;False
4226;3;3;4;44195.0;44795.0;shop;home;False;False
4226;4;4;5;53195.0;54095.0;home;shop;False;False
4226;5;5;6;58595.0;59495.0;shop;other;False;False
4226;6;6;7;60095.0;60995.0;other;home;False;True
4227;0;0;1;27787.0;29887.0;home;work;True;False
4227;1;1;2;42607.0;44707.0;work;work;False;False
4227;2;2;3;44887.0;45487.0;work;home;False;False
4227;3;3;4;51667.0;52567.0;home;work;False;False
4227;4;4;5;71287.0;72127.0;work;home;False;True
13166;0;0;1;26849.0;28049.0;home;work;True;False
13166;1;1;2;63149.0;64349.0;work;home;False;True
13795;0;0;1;37353.0;37953.0;home;shop;True;False
13795;1;1;2;39153.0;39273.0;shop;other;False;False
13795;2;2;3;40353.0;40953.0;other;home;False;True
16528;0;0;1;27088.0;27688.0;home;education;True;False
16528;1;1;2;42688.0;43288.0;education;home;False;False
16528;2;2;3;49588.0;50488.0;home;education;False;False
16528;3;3;4;60688.0;61288.0;education;home;False;True
16530;0;0;1;54004.0;56104.0;home;work;True;False
16530;1;1;2;68404.0;70504.0;work;home;False;True
17234;0;0;1;29460.0;31560.0;home;work;True;False
