route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1198295,1900894,0,Balma-Gramont,11970
line:61,27_1197951,1900551,1,Basso Cambo,11971
line:61,27_1199971,1902553,0,Balma-Gramont,11970
line:61,27_1198478,1901077,0,Balma-Gramont,11970
line:61,27_1198490,1901089,0,Balma-Gramont,11970
line:61,27_1199410,1902005,0,Balma-Gramont,11970
line:61,27_1199459,1902054,1,Basso Cambo,11971
line:61,27_1198086,1900686,1,Basso Cambo,11971
line:61,27_1198140,1900740,1,Basso Cambo,11971
line:61,27_1198255,1900855,1,Basso Cambo,11971
line:61,27_1200004,1902585,0,Balma-Gramont,11970
line:61,27_1198484,1901083,0,Balma-Gramont,11970
line:61,27_1197587,1900187,0,Balma-Gramont,11970
line:61,27_1199154,1901751,0,Balma-Gramont,11970
line:61,27_1199087,1901685,1,Basso Cambo,11971
line:61,27_1198250,1900850,1,Basso Cambo,11971
line:61,27_1199498,1902092,0,Balma-Gramont,11970
line:61,27_1199666,1902259,1,Basso Cambo,11971
line:61,27_1199224,1901821,1,Basso Cambo,11971
line:61,27_1199351,1901947,0,Balma-Gramont,11970
line:61,27_1197702,1900302,0,Balma-Gramont,11970
line:61,27_1198675,1901274,1,Basso Cambo,11971
line:61,27_1198653,1901252,1,Basso Cambo,11971
line:61,27_1197873,1900473,0,Balma-Gramont,11970
line:61,27_1197935,1900535,1,Basso Cambo,11971
line:61,27_1198451,1901050,0,Balma-Gramont,11970
line:61,27_1198975,1901573,1,Basso Cambo,11971
line:61,27_1197681,1900281,0,Balma-Gramont,11970
line:61,27_1197624,1900224,0,Balma-Gramont,11970
line:61,27_1198432,1901031,0,Balma-Gramont,11970
line:61,27_1197821,1900421,0,Balma-Gramont,11970
line:61,27_1199260,1901857,1,Basso Cambo,11971
line:61,27_1198886,1901484,0,Balma-Gramont,11970
line:61,27_1198759,1901358,1,Basso Cambo,11971
line:61,27_1197740,1900340,0,Balma-Gramont,11970
line:61,27_1197583,1900183,0,Balma-Gramont,11970
line:61,27_1198459,1901058,0,Balma-Gramont,11970
line:61,27_1198704,1901303,1,Basso Cambo,11971
line:61,27_1199734,1902326,1,Basso Cambo,11971
line:61,27_1198357,1900956,0,Balma-Gramont,11970
line:61,27_1199071,1901669,1,Basso Cambo,11971
line:61,27_1198615,1901214,1,Basso Cambo,11971
line:61,27_1198881,1901479,0,Balma-Gramont,11970
line:61,27_1199356,1901952,1,Basso Cambo,11971
line:61,27_1198764,1901363,1,Basso Cambo,11971
line:61,27_1198803,1901401,0,Balma-Gramont,11970
line:61,27_1199283,1901880,1,Basso Cambo,11971
line:61,27_1197768,1900368,0,Balma-Gramont,11970
line:61,27_1197607,1900207,0,Balma-Gramont,11970
line:61,27_1199000,1901598,1,Basso Cambo,11971
line:61,27_1197608,1900208,0,Balma-Gramont,11970
line:61,27_1197932,1900532,1,Basso Cambo,11971
line:61,27_1198710,1901309,1,Basso Cambo,11971
line:61,27_1198237,1900837,1,Basso Cambo,11971
line:61,27_1197616,1900216,0,Balma-Gramont,11970
line:61,27_1198890,1901488,0,Balma-Gramont,11970
line:61,27_1198188,1900788,1,Basso Cambo,11971
line:61,27_1197599,1900199,0,Balma-Gramont,11970
line:61,27_1197614,1900214,0,Balma-Gramont,11970
line:61,27_1197847,1900447,0,Balma-Gramont,11970
line:61,27_1198931,1901529,0,Balma-Gramont,11970
line:61,27_1198487,1901086,0,Balma-Gramont,11970
line:61,27_1198430,1901029,0,Balma-Gramont,11970
line:61,27_1199797,1902387,0,Balma-Gramont,11970
line:61,27_1197836,1900436,0,Balma-Gramont,11970
line:61,27_1198747,1901346,1,Basso Cambo,11971
line:61,27_1197576,1900176,0,Balma-Gramont,11970
line:61,27_1199970,1902552,0,Balma-Gramont,11970
line:61,27_1197632,1900232,0,Balma-Gramont,11970
line:61,27_1198958,1901556,0,Balma-Gramont,11970
line:61,27_1199384,1901980,1,Basso Cambo,11971
line:61,27_1198866,1901464,0,Balma-Gramont,11970
line:61,27_1199999,1902580,0,Balma-Gramont,11970
line:61,27_1199863,1902451,0,Balma-Gramont,11970
line:61,27_1198856,1901454,0,Balma-Gramont,11970
line:61,27_1197805,1900405,0,Balma-Gramont,11970
line:61,27_1199635,1902228,1,Basso Cambo,11971
line:61,27_1198322,1900921,0,Balma-Gramont,11970
line:61,27_1199777,1902368,1,Basso Cambo,11971
line:61,27_1198929,1901527,0,Balma-Gramont,11970
line:61,27_1198714,1901313,1,Basso Cambo,11971
line:61,27_1197936,1900536,1,Basso Cambo,11971
line:61,27_1198547,1901146,1,Basso Cambo,11971
line:61,27_1198379,1900978,0,Balma-Gramont,11970
line:61,27_1198200,1900800,1,Basso Cambo,11971
line:61,27_1198133,1900733,1,Basso Cambo,11971
line:61,27_1199046,1901644,1,Basso Cambo,11971
line:61,27_1197772,1900372,0,Balma-Gramont,11970
line:61,27_1198904,1901502,0,Balma-Gramont,11970
line:61,27_1199652,1902245,1,Basso Cambo,11971
line:61,27_1197610,1900210,0,Balma-Gramont,11970
line:61,27_1197899,1900499,0,Balma-Gramont,11970
line:61,27_1199461,1902056,1,Basso Cambo,11971
line:61,27_1199420,1902015,0,Balma-Gramont,11970
line:61,27_1198838,1901436,0,Balma-Gramont,11970
line:61,27_1198155,1900755,1,Basso Cambo,11971
line:61,27_1199853,1902442,1,Basso Cambo,11971
line:61,27_1199212,1901809,1,Basso Cambo,11971
line:61,27_1198964,1901562,0,Balma-Gramont,11970
line:61,27_1198801,1901399,0,Balma-Gramont,11970
line:61,27_1198826,1901424,0,Balma-Gramont,11970
line:61,27_1199870,1902458,1,Basso Cambo,11971
line:61,27_1198303,1900902,0,Balma-Gramont,11970
line:61,27_1198110,1900710,1,Basso Cambo,11971
line:61,27_1199396,1901992,1,Basso Cambo,11971
line:61,27_1199182,1901779,0,Balma-Gramont,11970
line:61,27_1199231,1901828,1,Basso Cambo,11971
line:61,27_1198350,1900949,0,Balma-Gramont,11970
line:61,27_1198285,1900885,1,Basso Cambo,11971
line:61,27_1198786,1901385,1,Basso Cambo,11971
line:61,27_1198522,1901121,0,Balma-Gramont,11970
line:61,27_1198317,1900916,0,Balma-Gramont,11970
line:61,27_1198879,1901477,0,Balma-Gramont,11970
line:61,27_1199138,1901735,0,Balma-Gramont,11970
line:61,27_1199619,1902212,0,Balma-Gramont,11970
line:61,27_1197875,1900475,0,Balma-Gramont,11970
line:61,27_1198335,1900934,0,Balma-Gramont,11970
line:61,27_1199355,1901951,1,Basso Cambo,11971
line:61,27_1198427,1901026,0,Balma-Gramont,11970
line:61,27_1198158,1900758,1,Basso Cambo,11971
line:61,27_1199434,1902029,0,Balma-Gramont,11970
line:61,27_1197871,1900471,0,Balma-Gramont,11970
line:61,27_1198147,1900747,1,Basso Cambo,11971
line:61,27_1198439,1901038,0,Balma-Gramont,11970
line:61,27_1199475,1902070,1,Basso Cambo,11971
line:61,27_1199874,1902461,0,Balma-Gramont,11970
line:61,27_1198770,1901369,1,Basso Cambo,11971
line:61,27_1199359,1901955,1,Basso Cambo,11971
line:61,27_1198585,1901184,1,Basso Cambo,11971
line:61,27_1199419,1902014,0,Balma-Gramont,11970
line:61,27_1198946,1901544,0,Balma-Gramont,11970
line:61,27_1200076,1902656,1,Basso Cambo,11971
line:61,27_1198769,1901368,1,Basso Cambo,11971
line:61,27_1197839,1900439,0,Balma-Gramont,11970
line:61,27_1198474,1901073,0,Balma-Gramont,11970
line:61,27_1198971,1901569,1,Basso Cambo,11971
line:61,27_1199809,1902399,1,Basso Cambo,11971
line:61,27_1197946,1900546,1,Basso Cambo,11971
line:61,27_1199335,1901931,0,Balma-Gramont,11970
line:61,27_1199012,1901610,1,Basso Cambo,11971
line:61,27_1199980,1902562,1,Basso Cambo,11971
line:61,27_1198254,1900854,1,Basso Cambo,11971
line:61,27_1198776,1901375,1,Basso Cambo,11971
